,Random (500),Reverse (500),Twenty percent sorted (500),Random (2500),Reverse (2500),Twenty percent sorted (2500),Random (12500),Reverse (12500),Twenty percent sorted (12500),Random (62500),Reverse (62500),Twenty percent sorted (62500),
adap_sequencial_search1 comparisons,381,308,49,1883,2433,171,4997,1099,2940,17448,52610,58239,
adap_sequencial_search1 comparisons,150,206,260,1627,859,810,355,2526,8089,28365,43672,59847,
adap_sequencial_search1 comparisons,104,175,136,341,1677,1204,9862,3102,5613,42941,34040,33621,
adap_sequencial_search1 comparisons,472,275,2,1470,62,1479,2868,10101,8407,50431,3215,21530,
adap_sequencial_search1 comparisons,178,353,285,1033,866,2299,6877,3003,11002,29694,4108,18999,
adap_sequencial_search1 comparisons,411,305,81,166,1216,2424,9457,6241,8694,19350,39299,53751,
adap_sequencial_search1 comparisons,454,340,6,1483,2218,2006,7693,2701,8414,1715,31681,6726,
adap_sequencial_search1 comparisons,439,295,140,701,1016,1447,7292,874,4084,26619,20136,37007,
adap_sequencial_search1 comparisons,483,191,87,1621,1329,2099,8811,4599,9470,45306,59011,14864,
adap_sequencial_search1 comparisons,167,216,446,1672,809,1035,12040,4344,9721,19065,28200,53257,
adap_sequencial_search1 comparisons,278,434,221,635,1233,1884,6837,11455,10525,56152,28902,31465,
adap_sequencial_search1 comparisons,95,247,265,1956,1665,186,10745,3437,74,46439,10792,6329,
adap_sequencial_search1 comparisons,348,339,396,1533,629,2095,4729,9396,2909,9650,16752,37090,
adap_sequencial_search1 comparisons,362,465,255,1580,1938,1064,5701,5442,407,54984,3202,49146,
adap_sequencial_search1 comparisons,443,35,181,171,1654,1396,12377,12322,143,62458,30863,32099,
adap_sequencial_search1 comparisons,160,111,206,134,1023,806,9961,2654,4888,39019,26727,53694,
adap_sequencial_search1 comparisons,27,161,342,2013,28,1838,7457,8446,1737,8422,59861,7673,
adap_sequencial_search1 comparisons,86,455,275,1044,217,2340,9937,1102,7750,47747,42241,38577,
adap_sequencial_search1 comparisons,380,356,135,1126,518,2274,5407,2092,9897,29068,25137,3174,
adap_sequencial_search1 comparisons,160,454,349,893,1489,2369,10377,3008,219,16420,46332,20034,
adap_sequencial_search1 comparisons,288,175,383,247,943,1127,8731,5343,7800,43548,36733,56135,
adap_sequencial_search1 comparisons,168,452,353,325,175,760,10312,845,8145,29216,50240,6390,
adap_sequencial_search1 comparisons,156,131,303,824,14,941,2682,9844,1563,32162,1532,12861,
adap_sequencial_search1 comparisons,176,393,48,909,1072,1365,7574,887,3145,62374,23307,56722,
adap_sequencial_search1 comparisons,422,484,411,2050,308,2257,914,3732,2751,1966,18126,29880,
